"setor_economatica","setor_bovespa","id_cvm","codigo","listagem_bovespa","at","k","ll","d_cp","d_lp","v","depreciacao","caixa","dividendos","qtd_acoes","pl","v_merc","ebit","desp_fin","div_onerosa","fcl","cap_giro","ano"
"Outros","Consumo Ciclico","02324","ANIM3","Novo Mercado",1449470147.1,266593139.75,92235621.939,239890389.94,455203244.86,1132661496.3,55561043.683,36739569.533,5362863.6347,79756582,754376512.34,2444875773.1,93341556.855,82343949.405,298762739.24,87752306.935,204229675.62,2017
"Outros","Consumo Ciclico","02324","ANIM3","Novo Mercado",1510233380.8,315127980.33,2350228.7225,241790612.18,573868220.71,1151055578.3,56714537.631,103893473.78,21105074.81,77632254,694574547.94,1377925545.7,40360036.205,78821931.22,414288630.12,54176374.137,184397421.21,2018
"Outros","Consumo Ciclico","02324","ANIM3","Novo Mercado",2402373787.9,899505190.21,9602396.2049,340258952.61,1371003564.1,1182656261.2,123213567.81,31582904.728,535524.02477,79286001,691111271.11,2364243446.1,120087508.88,153567269.74,1246919144.2,44401448.02,116109616.4,2019
"Transporte e Servicoes","Bens industriais","01977","ARTR3","Tradicional",8034271226.1,80174794.108,506985512.17,2728312550.3,3495000474.1,3640191270.7,302375984.93,1946777442.3,69708445.815,68889000,1810958201.7,6886445771.8,1087708706,517718476.57,4646688712.5,160121298.18,415954443.73,2010
"Transporte e Servicoes","Bens industriais","01977","ARTR3","Tradicional",8683981978.1,82324704.712,632719107.64,1479300640.7,5016661008.9,4243390503.9,319135159.16,1843812409.8,224542404.01,68889000,2188020328.6,6574819194.5,1264441563.3,569075760.17,4847830980.8,241654464.67,696018242.49,2011
"Transporte e Servicoes","Bens industriais","01977","ARTR3","Tradicional",8941329133.9,69787194.962,596588271.52,1545800855.7,5019789326.6,4610491744.7,357035535.08,1007362666.7,284760375.17,344444000,2375738951.6,9649126038.4,1237182330.6,502564484,4781759230.6,316982699.54,215478755.97,2012
"Transporte e Servicoes","Bens industriais","01977","ARTR3","Tradicional",10285585428,64732512.327,650912301.32,1256895546.4,6405202325.4,4714240089,398839764,1297959662.6,267688626.08,344444000,2623487556.1,9158691168.4,1321844406.1,472932438.21,5757250492.8,373052559.88,364254901.01,2013
"Transporte e Servicoes","Bens industriais","01977","ARTR3","Tradicional",12592459065,80653521.925,599280617.16,2305794023,7494267383.4,5270737696.6,452141655.31,1850142156.8,266033581.33,344444000,2792397658.7,5602571465.9,1328175376.6,589952848.32,7939300730.5,993446076.88,79583143.727,2014
"Transporte e Servicoes","Bens industriais","01977","ARTR3","Tradicional",11949001872,73975085.513,177004954.35,3184862462.9,6103471983.2,4537025190.9,621779948.58,579020324.78,39410157.471,344444000,2660667426.2,3939575215.8,869581195.55,782084980.55,7569370782.9,1411116180,2096387834.9,2015
"Transporte e Servicoes","Bens industriais","01977","ARTR3","Tradicional",12697854348,70918976.213,289449961.56,2986780817.5,4661145752.9,4518884057.4,678614470.31,428327288.15,91001051.791,551519000,5049927777.8,6288500118.1,1043909978.6,735023592.15,5624226743.4,949061785.98,2045162412.9,2016
